statistic,value
total_spectra,1803.0
spectra_accepted,1803.0
spectra_rejected,0.0
mineral_albite,100.0
mineral_andradite,100.0
mineral_augite,100.0
mineral_dolomite,100.0
mineral_grossular,100.0
mineral_hypersthene,100.0
mineral_microcline,100.0
mineral_muscovite,100.0
mineral_olivine,100.0
mineral_quartz,100.0
mineral_calcite,99.0
mineral_enstatite,98.0
mineral_rutile,95.0
mineral_spinel,95.0
mineral_diopside,93.0
mineral_beryl,92.0
mineral_orthoclase,89.0
mineral_zircon,68.0
mineral_apatite,58.0
mineral_pyrope,16.0
library_relab,1001.0
library_usgs,614.0
library_rruff,188.0
wavelength_min_overall,-984028.0
wavelength_max_overall,120414.0
avg_spectrum_points,2037.4780920687742
